esfera;modalide;autorida;tipo_instrumento_juridico;numero_emenda;ano_emenda;codigo_siafi;codigo_sigcon_entrada;valor_indicado;valor_repassado;formula;objeto;funcao_governo;orgao_executor
FEDERAL;Emenda Individual;TIAGO MITRAUD;Convênio;41330003;2022;9359872;932543/2022;2139839,14;1717579,38;0,0;Fortalecimento das atividades de polícia judiciária e reaparelhamento das unidades da Polícia Civil de Minas Gerais, por meio da aquisição de viaturas, recursos tecnológicos e mobiliários.;SEGURANCA PUBLICA;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;EROS BIONDINI;Convênio;27590010;2022;9362450;936054/2022 ;100000,0;71700,76;71700,76;Modernizar as Unidades de Prevenção à Criminalidade de Minas Gerais, por meio da aquisição de equipamentos de informática.;SEGURANCA PUBLICA;SECRETARIA DE ESTADO DE JUSTIÇA E SEGURANÇA PÚBLICA
FEDERAL;Emenda Individual;EROS BIONDINI;Convênio;27590001;2022;9363607;932553/2022;300000,0;277368,35;277368,35;Fortalecer e modernizar cinco unidades do CBMMG com a aquisição de Desencarceradores, Torres de Iluminação e Máquinas de Lavar Roupas para apoio às atividades operacionais.;SEGURANCA PUBLICA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda de Bancada;BANCADA DE MINAS GERAIS;Convênio;71140001;2022;9368834;932554/2022;13200000,0;11350857,11;11350857,11;Fortalecer e modernizar o Corpo de Bombeiros Militar de Minas Gerais com a aquisição de viaturas e equipamentos operacionais.;SEGURANCA PUBLICA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;DELEGADO MARCELO FREITAS;Transferência Especial;39570003;2022;9369087;TE - 202239570003 - PMMG;1299682,0;1299682,0;1299682,0;Transferência Especial para ampliação de unidade da PMMG e infraestrutura de aeroporto;SEGURANCA PUBLICA;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;CABO JUNIO AMARAL;Transferência Especial;39240007;2022;9369089;TE -202239240007 - PCMG;400000,0;400000,0;400000,0;Transferência Especial para estruturação de unidades da PCMG;SEGURANCA PUBLICA;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;MARCELO ARO;Transferência Especial;37140002;2022;9369147;TE - 202237140002 - SEE;100000,0;100000,0;100000,0;Transferência Especial para aquisição de computadores para a Escola Estadual José Ermírio de Morais em Três Marias  ;EDUCACAO;SECRETARIA DE ESTADO DE EDUCAÇÃO
FEDERAL;Emenda Individual;ALÊ SILVA;Transferência Especial;39040001;2022;9369427;TE - 202239040001 - PMMG;1200000,0;1200000,0;1200000,0;Aquisição de equipamentos para o 5º BRAVE/Governador Valadares e complementação de recursos para construção do 58º Batalhão da PM.;SEGURANCA PUBLICA;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;SUBTENENTE GONZAGA;Transferência Especial;29940005;2022;9369428;TE - 202229940005 - PMMG (1);1500000,0;1500000,0;1500000,0;Aparelhamento da Polícia Militar de Minas Gerais.;SEGURANCA PUBLICA;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;ALÊ SILVA;Transferência Especial;39040001;2022;9369700;TE - 202239040001 - SEJUSP (2);400000,0;400000,0;400000,0;Aquisição de viatura e de equipamentos de informática para o Presídio de Timóteo/MG.;SEGURANCA PUBLICA;SECRETARIA DE ESTADO DE JUSTIÇA E SEGURANÇA PÚBLICA
FEDERAL;Emenda Individual;SUBTENENTE GONZAGA;Transferência Especial;29940005;2022;9369701;TE - 202229940005 - PMMG (2);100000,0;100000,0;100000,0;Aparelhamento da Polícia Militar de Minas Gerais.;SEGURANCA PUBLICA;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;CABO JUNIO AMARAL;Transferência Especial;39240007;2022;9370612;TE - 202239240007 - PMMG;1409682,0;1409682,0;1409682,0;Transferência Especial para Estruturação de Unidades da PMMG;SEGURANCA PUBLICA;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;ÁUREA CAROLINA;Transferência Especial;39160001;2022;9370613;TE - 202239160001 - SEDESE;103666,0;103666,0;103666,0;Transferência Especial para Fortalecimento e autonomia para mulheres quilombolas do município Chapada do Norte com aquisição de maquinário para cozinha industrial, com execução da SEDESE.;ASSISTENCIA SOCIAL;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL
FEDERAL;Emenda Individual;LUCAS GONZALEZ;Convênio;41570011;2022;9370628;929578/2022;477500,0;477500,0;477500,0;Aquisição de veículos e notebooks para apoio a estruturação da EMATER-MG;AGRICULTURA;EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;MISAEL VARELLA;Convênio;37310006;2022;9370631;929579/2022;620750,0;620750,0;620750,0;Aquisição de veículos e equipamentos para apoio a estruturação da EMATER-MG;AGRICULTURA;EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;FRANCO CARTAFINA;Transferência Especial;39900001;2022;9372104;TE - 202239900001 - PMMG;400000,0;400000,0;400000,0;Reforma e equipamentos para Batalhão da Polícia Militar do Estado de Minas Gerais (PMMG) de Uberaba;SEGURANCA PUBLICA;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda de Bancada;BANCADA DE MINAS GERAIS;Convênio;71140001;2022;9372385;936878/2022;4800000,0;3932866,96;3932866,96;Otimizar o policiamento ostensivo por meio da aquisição de viaturas e armamento.;SEGURANCA PUBLICA;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;FÁBIO RAMALHO;Transferência Especial;23680010;2022;9376493;TE - 202223680010 - PMMG;600000,0;600000,0;600000,0;Aparelhamento da Polícia Militar do Estado de Minas Gerais;SEGURANCA PUBLICA;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;FÁBIO RAMALHO;Convênio;23680009;2022;9376674;927358/2022 ;937200,0;0,0;0,0;Conjugação de esforços para promoção do agronegócio mineiro e brasileiro via reforma e revitalização do Parque de Exposições Bolívar de Andrade (Parque da Gameleira) em Belo Horizonte.;AGRICULTURA;INSTITUTO MINEIRO DE AGROPECUÁRIA
FEDERAL;Emenda Individual;ODAIR CUNHA;Transferência Especial;14070001;2023;9385998;TE - 202314070001 - CBMMG;1000000,0;1000000,0;1000000,0;Transferência Especial para Obra de Ampliação do Posto Avançado do CBMMG no município de Boa Esperança/MG. ;SEGURANCA PUBLICA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;AÉCIO NEVES;Transferência Especial;13490001;2023;9386254;TE - 202313490001 - SECULT;162920,0;162920,0;162920,0;Transferência Especial destinada a Secretaria de Cultura com a finalidade de custeio de estandes para feiras de Artesanato.;CULTURA;SECRETARIA DE ESTADO DE CULTURA E TURISMO
FEDERAL;Emenda Individual;FÁBIO RAMALHO;Portaria;23680005;2022;9389384;3812/2022;200000,0;1623000,0;1623000,0;Habilitar o Estado, Município ou Distrito Federal a receber recursos referentes ao incremento temporário ao custeio dos serviços de Atenção Especializada à Saúde.;SAUDE;FUNDO ESTADUAL DE SAÚDE
FEDERAL;Emenda Individual;MÁRIO HERINGER;Portaria;14050004;2022;9389384;3812/2022;226000,0;1623000,0;0,0;Habilitar o Estado, Município ou Distrito Federal a receber recursos referentes ao incremento temporário ao custeio dos serviços de Atenção Especializada à Saúde.;SAUDE;FUNDO ESTADUAL DE SAÚDE
FEDERAL;Emenda Individual;CABO JUNIO AMARAL;Portaria;39240011;2022;9389384;3812/2022;257000,0;1623000,0;0,0;Habilitar o Estado, Município ou Distrito Federal a receber recursos referentes ao incremento temporário ao custeio dos serviços de Atenção Especializada à Saúde.;SAUDE;FUNDO ESTADUAL DE SAÚDE
FEDERAL;Emenda Individual;AELTON FREITAS;Portaria;20180002;2022;9389384;3812/2022;700000,0;1623000,0;0,0;Habilitar o Estado, Município ou Distrito Federal a receber recursos referentes ao incremento temporário ao custeio dos serviços de Atenção Especializada à Saúde.;SAUDE;FUNDO ESTADUAL DE SAÚDE
FEDERAL;Emenda Individual;MARCELO ARO;Portaria;37140005;2022;9389384;3812/2022;240000,0;1623000,0;0,0;Habilitar o Estado, Município ou Distrito Federal a receber recursos referentes ao incremento temporário ao custeio dos serviços de Atenção Especializada à Saúde.;SAUDE;FUNDO ESTADUAL DE SAÚDE
FEDERAL;Emenda Individual;DIMAS FABIANO;Transferência Especial;27550001;2023;9389606;TE - 202327550001 - SEJUSP;486625,0;486625,0;486625,0;Aquisição de equipamentos para o Presídio de Itajubá/MG.  ;SEGURANCA PUBLICA;SECRETARIA DE ESTADO DE JUSTIÇA E SEGURANÇA PÚBLICA
FEDERAL;Emenda Individual;EMIDINHO MADEIRA;Transferência Especial;39760002;2023;9389641;TE - 202339760002 - SEAPA;600000,0;600000,0;600000,0;Aquisição de equipamentos para apicultura.;AGRICULTURA;SECRETARIA DE ESTADO DE AGRICULTURA, PECUÁRIA E ABASTECIMENTO
FEDERAL;Emenda Individual;ROGÉRIO CORREIA;Transferência Especial;40640013;2023;9389737;TE - 202340640013 - EMATER;220840,0;220840,0;220840,0;Transferência Especial para aquisição de Patrulha Agrícola Mecanizada para a Empresa de Assistência Técnica e Extensão Rural de Minas Gerais – Emater – Unidade de Alvinópolis. A aquisição tem por objetivo maior eficiência produtiva, desenvolvimento agrícola, melhoria de renda e da qualidade de vida dos agricultores familiares, para uso na Associação de Desenvolvimento Comunitário  ;AGRICULTURA;EMPRESA DE ASSISTÊNCIA TÉCNICA E EXTENSÃO RURAL DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;DR. FREDERICO;Transferência Especial;39600002;2023;9389738;TE - 202339600002 - PMMG;175841,0;175841,0;175841,0;Transferência Especial para aquisição de viatura para a PMMG.;SEGURANCA PUBLICA;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;SUBTENENTE GONZAGA;Transferência Especial;29940004;2023;9389739;TE - 202329940004 - CBMMG;2000490,0;2000490,0;2000490,0;Transferência Especial com Destinado de realização de ações da corporação militar do CBMMG.;SEGURANCA PUBLICA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;LAFAYETTE DE ANDRADA;Transferência Especial;40290005;2023;9389741;TE - 202340290005 - PMMG;100000,0;100000,0;100000,0;Transferência Especial Aquisição de equipamentos de armamento PEIE para a PMMG.;SEGURANCA PUBLICA;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;DR. FREDERICO;Transferência Especial;39600002;2023;9389742;TE - 202339600002 - SEE;150000,0;150000,0;150000,0;Transferência Especial para Investimento na Escola Estadual Dr. Antônio Batista do Nascimento em Piedade do Rio Grande/MG.;EDUCACAO;SECRETARIA DE ESTADO DE EDUCAÇÃO
FEDERAL;Emenda Individual;MÁRIO HERINGER;Transferência Especial;14050005;2023;9389743;TE - 202314050005 - SEE;100000,0;100000,0;100000,0;Aquisição de equipamentos para atividades culturais e educacionais na Escola Estadual Oswaldo Lucas Mendes - Taiobeiras;EDUCACAO;SECRETARIA DE ESTADO DE EDUCAÇÃO
FEDERAL;Emenda Individual;LAFAYETTE DE ANDRADA;Transferência Especial;40290005;2023;9389744;TE - 202340290005 - SEE;150000,0;150000,0;150000,0;Transferência Especial para aquisição de mobiliário e equipamento para a EE Dr João Nogueira de Almeida em Santana dos Montes/MG.;EDUCACAO;SECRETARIA DE ESTADO DE EDUCAÇÃO
FEDERAL;Emenda Individual;MÁRIO HERINGER;Transferência Especial;14050005;2023;9389746;TE - 202314050005 - PMMG;450000,0;450000,0;450000,0;Estruturação do 1º BPM e do 11º BPM;SEGURANCA PUBLICA;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;ROGÉRIO CORREIA;Transferência Especial;40640013;2023;9389768;TE - 202340640013 - UEMG;100000,0;100000,0;100000,0;Transferência Especial destinada a aquisição de material e equipamento para a Universidade Federal de Minas Gerais;EDUCACAO;UNIVERSIDADE DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;GILBERTO ABRAMO;Transferência Especial;39990005;2023;9390034;TE - 202339990005 - PMMG;1100000,0;1100000,0;1100000,0;Estruturação predial e aquisição de equipamentos para a Polícia Militar do Estado de Minas Gerais;SEGURANCA PUBLICA;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;SUBTENENTE GONZAGA;Transferência Especial;29940004;2023;9390036;TE - 202329940004 - PMMG;9422000,0;9422000,0;9422000,0;Transferência Especial para aparelhamento e desenvolvimento de ações militares para a PMMG.;SEGURANCA PUBLICA;POLÍCIA MILITAR DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;EROS BIONDINI;Transferência Especial;27590014;2023;9390037;TE - 202327590014 - CBMMG;488762,0;488762,0;488762,0;Transferência Especial para aquisição de equipamentos e mobiliário para o CBMMG.;SEGURANCA PUBLICA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;GREYCE ELIAS;Transferência Especial;41000006;2023;9390040;TE - 202341000006 - SEDESE;107302,0;107302,0;107302,0;Aquisição de kits de material esportivos para municípios mineiros;DESPORTO E LAZER;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL
FEDERAL;Emenda Individual;ROGÉRIO CORREIA;Transferência Especial;40640013;2023;9390042;TE - 202340640013 - CBMMG;100000,0;100000,0;100000,0;Transferência Especial para aparelhamento do Corpo de Bombeiros de Minas Gerais.;SEGURANCA PUBLICA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;LEONARDO MONTEIRO;Transferência Especial;14030013;2023;9390044;TE - 202314030013 - PCMG;150000,0;150000,0;150000,0;Transferência Especial para Aquisição de equipamentos para a unidade do IML da Policia Civil no município de Governador Valadares-MG.;SEGURANCA PUBLICA;POLÍCIA CIVIL DO ESTADO DE MINAS GERAIS
FEDERAL;Emenda Individual;RODRIGO PACHECO;Transferência Especial;41400005;2023;9390047;TE - 202341400005 - CBMMG;500000,0;500000,0;500000,0;Execução de obras na Academia de Bombeiros Militar em Belo Horizonte/MG ;SEGURANCA PUBLICA;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS
